eig
   ;eigenvalue;percentage of variance;cumulative percentage of variance;
dim 1;1;1.7894;1.7894;
dim 2;0.9386;1.6795;3.4689;
dim 3;0.933;1.6695;5.1384;
dim 4;0.9175;1.6418;6.7802;
dim 5;0.9092;1.627;8.4072;
dim 6;0.9045;1.6185;10.0258;
dim 7;0.9003;1.6109;11.6367;
dim 8;0.8888;1.5904;13.2271;
dim 9;0.8862;1.5857;14.8128;
dim 10;0.885;1.5835;16.3964;
dim 11;0.8684;1.5539;17.9503;
dim 12;0.8632;1.5446;19.4949;
dim 13;0.8502;1.5214;21.0163;
dim 14;0.8322;1.4891;22.5054;
dim 15;0.8287;1.4829;23.9883;
dim 16;0.8229;1.4726;25.4609;
dim 17;0.8169;1.4618;26.9226;
dim 18;0.8016;1.4343;28.357;
dim 19;0.8007;1.4327;29.7897;
dim 20;0.7825;1.4002;31.1899;
dim 21;0.7753;1.3874;32.5772;
dim 22;0.7526;1.3467;33.9239;
dim 23;0.7473;1.3372;35.2611;
dim 24;0.7325;1.3107;36.5718;
dim 25;0.7271;1.301;37.8728;
dim 26;0.7262;1.2995;39.1723;
dim 27;0.7154;1.2801;40.4525;
dim 28;0.7048;1.2611;41.7136;
dim 29;0.7006;1.2537;42.9673;
dim 30;0.6928;1.2397;44.2071;
dim 31;0.6899;1.2345;45.4415;
dim 32;0.67;1.1989;46.6405;
dim 33;0.6591;1.1794;47.8199;
dim 34;0.648;1.1596;48.9795;
dim 35;0.6407;1.1464;50.1259;
dim 36;0.6317;1.1303;51.2562;
dim 37;0.63;1.1273;52.3835;
dim 38;0.6152;1.1008;53.4843;
dim 39;0.6105;1.0923;54.5767;
dim 40;0.6016;1.0765;55.6531;
dim 41;0.5958;1.066;56.7192;
dim 42;0.5846;1.0461;57.7653;
dim 43;0.5794;1.0367;58.802;
dim 44;0.5556;0.9941;59.7962;
dim 45;0.5374;0.9616;60.7578;
dim 46;0.5328;0.9533;61.7111;
